Year,California Statewide GHG Emissions(MMTCO2 Eq.),Los Angeles County GHG Emissions(MMTCO2 Eq.),Population,>100 AQI Day Count
2022,370,93,9834503,94
2021,380,95,9942011,96
2020,370,93,10014009,137
2019,405,101,10163139,86
2018,410,103,10192593,108
2017,410,103,10181162,120
2016,412,103,10150386,104
2015,427,107,10124800,132
2014,428,107,10078942,108
2013,431,108,10025721,100
2012,435,109,9956888,130
2011,437,109,9881070,121
2010,440,110,9822121,114
2009,450,113,9801096,118
2008,480,120,9785474,122
2007,483,121,9780808,127
2006,477,119,9798609,129
2005,478,120,9816153,138
2004,485,121,9806944,158
2003,476,119,9756914,170
2002,476,119,9679212,179
2001,479,120,9590080,186
2000,460,115,9477651,175
1999,409,102,9330171,168
1998,398,100,9225813,118
1997,392,98,9147051,161
1996,391,98,9104719,170
1995,392,98,9103896,214
1994,397,99,9095157,219
1993,379,95,9072159,228
1992,383,96,9007999,240
1991,385,96,8908269,232
1990,399,100,8832500,230
